team,wins,losses,win_pct,ppg,opp_ppg,point_diff
BYU Cougars,39,31,0.5571428571428572,78.12857142857143,75.38571428571429,2.742857142857143
Merrimack Warriors,5,3,0.625,66.875,65.5,1.375
Columbia Lions,2,15,0.11764705882352941,64.29411764705883,74.05882352941177,-9.764705882352942
Manhattan Jaspers,3,23,0.11538461538461539,62.11538461538461,72.15384615384616,-10.038461538461538
Quinnipiac Bobcats,11,9,0.55,72.15,71.95,0.2
Robert Morris Colonials,8,6,0.5714285714285714,74.42857142857143,70.64285714285714,3.7857142857142856
Wagner Seahawks,6,7,0.46153846153846156,65.46153846153847,74.46153846153847,-9.0
St. Francis Brooklyn Terriers,0,4,0.0,71.5,82.25,-10.75
Fairleigh Dickinson Knights,6,10,0.375,72.0625,76.5,-4.4375
George Mason Patriots,4,12,0.25,62.375,74.25,-11.875
Nevada Wolf Pack,15,15,0.5,72.13333333333334,73.23333333333333,-1.1
Bradley Braves,3,6,0.3333333333333333,62.44444444444444,66.22222222222223,-3.7777777777777777
Winthrop Eagles,8,5,0.6153846153846154,68.61538461538461,68.61538461538461,0.0
Bowling Green Falcons,5,8,0.38461538461538464,73.61538461538461,82.15384615384616,-8.538461538461538
Akron Zips,16,12,0.5714285714285714,72.14285714285714,69.42857142857143,2.7142857142857144
Monmouth Hawks,12,12,0.5,67.16666666666667,74.29166666666667,-7.125
Wofford Terriers,3,9,0.25,67.08333333333333,75.58333333333333,-8.5
Belmont Bruins,4,5,0.4444444444444444,68.44444444444444,74.44444444444444,-6.0
Radford Highlanders,2,6,0.25,71.125,77.0,-5.875
Northern Illinois Huskies,6,6,0.5,68.75,75.83333333333333,-7.083333333333333
Davidson Wildcats,11,10,0.5238095238095238,75.57142857142857,72.28571428571429,3.2857142857142856
Indiana State Sycamores,3,9,0.25,68.33333333333333,78.58333333333333,-10.25
Murray State Racers,14,4,0.7777777777777778,72.83333333333333,64.16666666666667,8.666666666666666
Hofstra Pride,6,10,0.375,69.0,73.5625,-4.5625
Ohio Bobcats,11,10,0.5238095238095238,76.76190476190476,68.66666666666667,8.095238095238095
Georgia Southern Eagles,3,7,0.3,63.0,69.0,-6.0
East Tennessee State Buccaneers,3,2,0.6,74.8,76.2,-1.4
Northeastern Huskies,2,7,0.2222222222222222,62.0,73.0,-11.0
Prairie View A&M Panthers,7,10,0.4117647058823529,72.29411764705883,73.11764705882354,-0.8235294117647058
Vermont Catamounts,8,6,0.5714285714285714,66.35714285714286,65.5,0.8571428571428571
Stony Brook Seawolves,2,5,0.2857142857142857,61.285714285714285,73.0,-11.714285714285714
South Carolina State Bulldogs,4,15,0.21052631578947367,72.47368421052632,82.0,-9.526315789473685
Texas Southern Tigers,18,12,0.6,68.7,69.8,-1.1
Jackson State Tigers,5,21,0.19230769230769232,61.26923076923077,76.0,-14.73076923076923
Weber State Wildcats,7,6,0.5384615384615384,64.15384615384616,67.76923076923077,-3.6153846153846154
Southern Utah Thunderbirds,8,5,0.6153846153846154,78.84615384615384,75.76923076923077,3.076923076923077
George Washington Revolutionaries,2,9,0.18181818181818182,67.27272727272727,76.63636363636364,-9.363636363636363
Northwestern State Demons,5,15,0.25,64.05,79.65,-15.6
North Carolina Central Eagles,8,7,0.5333333333333333,70.53333333333333,69.86666666666666,0.6666666666666666
Georgia State Panthers,2,10,0.16666666666666666,67.91666666666667,81.66666666666667,-13.75
Colgate Raiders,8,10,0.4444444444444444,72.88888888888889,74.0,-1.1111111111111112
Florida International Panthers,3,7,0.3,77.7,78.2,-0.5
Texas State Bobcats,5,8,0.38461538461538464,64.38461538461539,70.3076923076923,-5.923076923076923
Lamar Cardinals,5,6,0.45454545454545453,69.0,74.45454545454545,-5.454545454545454
